Major Name,Major Code,Total Credits Required,Credits for Major,Credits for General Education,Prescribed Courses,Additional Courses,Options,General Option Courses,Data Science Option Courses,General Education Requirements,GenEdTag
"Computer Science, B.S. (Abington)",CMPAB_BS,120,88,45,"((CMPSC 131, CMPSC 132) or (CMPSC 121, CMPSC 122)), CMPSC 312, CMPSC 430, CMPSC 460, CMPSC 462, CMPSC 463, CMPSC 469, CMPSC 472, CMPSC 487W, CMPSC 488, MATH 220, PHYS 211, CMPSC 330, CMPSC 360, ENGL 202C, MATH 140, MATH 141","STAT/MATH 318 or STAT/MATH 414","General Option, Data Science Option","CMPSC 441, CMPSC 445, CMPSC 446, CMPSC 457, CMPSC 470, MATH 425, MATH 485","DS 220, STAT 401, STAT 462, MATH 401, MATH 410, MATH 411, MATH 412, MATH 430, MATH 435, MATH 448, MATH 465, MATH 468, MATH 485","Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits","MATH 140:GQ; MATH 141:GQ; MATH 220:GQ; ENGL 202C:GWS; PHYS 211:GN; SOC 119:GS; STS 130:GH; CAS 100A:GWS; MUSIC 9:GA"
"Elementary & Early Childhood Education, B.S. (Abington)",CEAED_BS,120,84,36,"C I 295, C I 297, C I 401, C I 402, C I 403A, C I 403B, C I 495A, C I 495B, EDTHP 115A, EDPSY 014, EDPSY 101, SPLED 400, SPLED 401, ENGL 202A, MATH 200, MATH 201, STAT 200, HDFS 229, PSYCH 100, ART 10, BIOL 11, GEOG 30N, HIST 20, ENGL 15","PHYS 250, PHYS 251, PLSC 14, ECON 102, ECON 104, SOC 001","None","None","None","Writing and Speaking (GWS): 9 credits, Quantification (GQ): 6 credits, Arts (GA): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 6 credits, Natural Sciences (GN): 9 credits, Health and Wellness (GHW): 3 credits","ENGL 15:GWS; ENGL 202A:GWS; MATH 200:GQ; MATH 201:GQ; STAT 200:GQ; BIOL 11:GN; GEOG 30N:GN; HDFS 229:GS; PSYCH 100:GS; ART 10:GA; HIST 20:GH; KINES 84:GHW"
